L,M,H
492.3778623558923,505.15,517.9221376441076
500.33242804207674,519.05,537.7675719579231
500.76520775542826,516.95,533.1347922445718
503.4570200342484,522.15,540.8429799657516
497.21435439570973,519.5,541.7856456042903
499.075396074951,518.8,538.5246039250488
495.0896295465328,516.55,538.0103704534671
493.95942893551876,517.95,541.9405710644813
496.51590968233444,518.35,540.1840903176657
501.8375326087202,523.4,544.9624673912797
499.08297792237636,517.45,535.8170220776237
496.3515586640741,516.4,536.4484413359258
497.3313144554641,524.3,551.2686855445357
498.21645045816945,520.7,543.1835495418306
496.82954459245076,517.8,538.7704554075492
503.6606205122529,525.9,548.1393794877471
497.4152333826361,518.25,539.0847666173639
496.8543129650428,516.85,536.8456870349572
499.2678725897121,521.15,543.0321274102879
493.7121826584867,517.1,540.4878173415133
502.47353219170526,522.7,542.9264678082949
493.49795329803044,519.15,544.8020467019695
493.71266438598036,517.0,540.2873356140196
497.7015723788746,521.55,545.3984276211253
504.1473845946563,524.7,545.2526154053438
500.2902403631066,521.3,542.3097596368933
498.0295619926179,517.55,537.070438007382
498.5887675889609,516.4,534.2112324110391
494.50066080257074,517.2,539.8993391974294
497.2821561814957,522.65,548.0178438185043
495.4417093055428,515.8,536.1582906944572
495.3897698757079,516.9,538.4102301242921
501.08317763395115,521.6,542.1168223660488
494.9381009040991,517.95,540.961899095901
503.29470356723874,522.65,542.0052964327613
490.3904781529347,513.5,536.6095218470653
495.7495762755322,516.4,537.0504237244677
492.70808002809775,515.6,538.4919199719023
503.58026717784156,519.3,535.0197328221584
503.7709903644869,522.4,541.029009635513
502.1925211531011,521.25,540.3074788468989
496.6892975955025,516.55,536.4107024044973
504.70150609241705,521.3,537.8984939075829
502.34158530690854,522.4,542.4584146930914
500.09337999599154,522.0,543.9066200040085
504.69473013593927,522.25,539.8052698640607
500.8794079637025,522.5,544.1205920362975
497.97415328856306,519.75,541.525846711437
495.74133973029654,519.85,543.9586602697035
497.5452300181818,518.25,538.9547699818182
503.72611317486655,520.85,537.9738868251335
500.6903340726539,518.8,536.909665927346
497.2081746833043,518.0,538.7918253166957
495.26598959407744,516.6,537.9340104059227
498.2591599974754,516.95,535.6408400025247
503.8207371022428,521.05,538.2792628977571
497.4993644153385,521.1,544.7006355846615
495.5329533151453,516.0,536.4670466848547
497.85399302074336,518.2,538.5460069792567
504.3788227971489,519.5,534.6211772028511
497.27913310442676,521.85,546.4208668955733
504.697074695676,523.5,542.302925304324
498.7795920545605,517.9,537.0204079454395
495.42755419511116,518.55,541.6724458048888
501.8670872807373,523.0,544.1329127192628
501.8922059340716,520.5,539.1077940659284
498.6456298158166,520.1,541.5543701841834
499.1976853092074,520.8,542.4023146907925
491.2428333650509,512.7,534.1571666349491
496.9382533743941,521.1,545.261746625606
499.44819043631543,518.1,536.7518095636846
498.17917670392677,519.8,541.4208232960732
495.58684589978833,518.4,541.2131541002116
497.6912782142475,521.2,544.7087217857526
502.9526283822675,522.45,541.9473716177326
496.29879811164886,517.1,537.9012018883512
507.1737517059455,525.95,544.7262482940546
498.4686275402617,520.0,541.5313724597383
502.6255202535585,524.85,547.0744797464416
492.4258068649661,517.6,542.774193135034
503.72901174684785,522.5,541.2709882531522
497.61576298937524,517.75,537.8842370106247
496.45394202029235,519.6,542.7460579797078
488.55527164237384,513.45,538.3447283576262
502.5108615649886,522.3,542.0891384350114
495.90020000080017,520.9,545.8997999991998
499.0440745261902,517.4,535.7559254738098
496.3412413261146,520.75,545.1587586738855
495.41072494411617,517.55,539.6892750558837
507.33998813760945,524.2,541.0600118623906
500.9159634712149,522.05,543.184036528785
500.91466342509614,519.15,537.3853365749038
494.61000217485923,517.6,540.5899978251408
493.385541509256,517.6,541.8144584907441
501.2791304569942,518.3,535.3208695430058
496.8875033086294,520.5,544.1124966913707
498.39913045121904,521.4,544.4008695487809
494.0661075329312,519.9,545.7338924670687
497.0004237326188,520.6,544.1995762673813
498.582717259185,520.0,541.417282740815
504.95857148119387,524.35,543.7414285188062
