L,M,H
485.03212034975763,501.75,518.4678796502424
605.4709857643209,709.4,813.3290142356791
800.1305740054593,870.6,941.0694259945408
861.5126278733655,911.0,960.4873721266345
898.6005279076732,931.75,964.8994720923268
916.8388350120762,944.05,971.2611649879237
930.7962658494582,954.9,979.0037341505417
941.7120725553353,962.0,982.2879274446647
949.408482834391,969.15,988.891517165609
959.7760755700521,972.85,985.923924429948
960.507280158249,976.3,992.0927198417509
966.0304284663367,978.75,991.4695715336633
970.5388555961418,981.2,991.8611444038582
974.3338797961082,984.5,994.6661202038918
980.0120267164262,986.45,992.8879732835738
977.3258245741317,986.8,996.2741754258682
980.279896373754,988.0,995.720103626246
982.5341424424902,989.4,996.2658575575098
982.2029418128169,989.0,995.7970581871831
986.672468158196,990.5,994.327531841804
987.4427475911281,992.1,996.757252408872
989.9393038741641,993.1,996.2606961258359
989.2324276699591,992.3,995.3675723300408
989.2924329183003,992.6,995.9075670816998
990.0,993.0,996.0
989.885517699528,993.0,996.114482300472
990.2324276699401,993.3,996.3675723300598
989.8439575019253,992.95,996.0560424980748
990.5813949474722,993.95,997.3186050525279
990.2959043891826,993.35,996.4040956108174
991.9359784591065,994.35,996.7640215408935
991.1845886382018,993.95,996.7154113617983
991.4991229419801,994.35,997.20087705802
992.21535423519,994.65,997.0846457648099
990.6518120701015,994.1,997.5481879298985
991.9220976613244,994.4,996.8779023386755
991.2980007993588,993.8,996.3019992006411
992.1020842383437,994.5,996.8979157616563
994.5088465474754,996.2,997.8911534525247
991.9113931371942,994.1,996.2886068628059
992.3235828882994,994.75,997.1764171117006
991.6077912675295,993.85,996.0922087324706
992.4906523060671,994.1,995.709347693933
991.6183750346228,993.65,995.6816249653772
991.0557074693197,993.9,996.7442925306802
990.8545040573223,993.35,995.8454959426778
993.1139428900665,994.9,996.6860571099335
992.8258563653006,994.65,996.4741436346993
990.8234247867553,993.8,996.7765752132447
992.022207716885,994.15,996.277792283115
989.9600970888873,993.05,996.1399029111126
991.6387503050614,994.2,996.7612496949387
992.1088465474409,993.8,995.491153452559
991.1241823679419,993.8,996.475817632058
990.6978271133456,993.0,995.3021728866544
991.186097260037,994.25,997.313902739963
991.6387503050614,994.2,996.7612496949387
992.3740593300954,994.7,997.0259406699047
991.9175131887623,994.05,996.1824868112376
990.5633351331951,993.65,996.7366648668049
991.2353117295944,993.2,995.1646882704057
991.9019237886466,994.5,997.0980762113534
991.8175131887897,993.95,996.0824868112104
991.9025015644585,993.9,995.8974984355415
991.7656120255245,994.4,997.0343879744754
992.630202711986,994.85,997.069797288014
990.2625314072335,992.75,995.2374685927665
991.5951027417753,994.15,996.7048972582246
991.7919563549148,993.35,994.9080436450853
992.2484698655957,994.7,997.1515301344044
990.908633541022,993.8,996.6913664589779
991.0684987217644,994.1,997.1315012782356
991.9991229419801,994.85,997.70087705802
992.2711241430638,994.45,996.6288758569362
991.5882071040818,994.35,997.1117928959183
991.0607378164794,993.5,995.9392621835206
989.9656590563909,993.55,997.134340943609
991.4698056603607,994.3,997.1301943396392
991.4504902432036,994.0,996.5495097567964
991.6318395421004,994.05,996.4681604578996
990.5959043891826,993.65,996.7040956108174
989.9053622775144,992.7,995.4946377224857
991.2332469787198,994.45,997.6667530212803
991.2896058413738,993.7,996.1103941586263
992.3999999999737,994.8,997.2000000000262
992.8279954853291,994.6,996.372004514671
990.4298116499158,993.35,996.2701883500843
992.9884954754281,994.95,996.911504524572
992.2726865067034,994.3,996.3273134932965
992.087068006731,994.8,997.5129319932689
991.6255953056067,994.25,996.8744046943933
991.0203004485577,993.35,995.6796995514424
991.9343592172421,994.1,996.2656407827579
990.2642591938959,993.15,996.0357408061041
990.9061469798839,993.75,996.5938530201161
991.2179855623514,993.85,996.4820144376487
990.8344183549414,993.65,996.4655816450586
992.4730677800948,994.9,997.3269322199052
991.8911916836407,994.45,997.0088083163594
990.5956174047682,993.45,996.3043825952319
991.5999999999918,993.9,996.2000000000081
