L,M,H
490.1947930787525,499.8,509.4052069212475
587.7194284689054,697.6,807.4805715310946
778.2496655038514,864.2,950.1503344961487
864.3142426461293,911.7,959.0857573538708
896.9710423195978,932.9,968.8289576804021
912.2344798285952,944.7,977.1655201714049
932.6134569751174,954.9,977.1865430248826
942.3354741322556,960.5,978.6645258677444
950.1388667896701,966.2,982.26113321033
955.0488497338367,971.35,987.6511502661633
962.1806921431589,974.75,987.3193078568411
967.0830366397953,977.85,988.6169633602047
967.6632432300091,978.7,989.736756769991
972.3272880761441,981.75,991.1727119238559
976.240517464962,984.55,992.859482535038
979.3614528992226,986.45,993.5385471007775
981.2697826120037,988.4,995.5302173879962
983.5239629760212,989.25,994.9760370239788
985.1359894179927,990.05,994.9640105820072
985.2154150800932,989.1,992.9845849199069
987.1433191434719,991.45,995.7566808565282
987.5923827157368,990.55,993.5076172842631
988.7268107971092,992.35,995.9731892028908
989.483377193273,992.65,995.816622806727
990.1046909382535,993.3,996.4953090617464
988.9052279599351,992.25,995.5947720400649
989.7405882918466,992.8,995.8594117081533
990.4115641789,993.0,995.5884358211
990.0143223445615,992.8,995.5856776554384
990.0435416741517,992.95,995.8564583258484
990.6412966855002,992.8,994.9587033144998
991.4384471871912,993.5,995.5615528128088
990.8717253831365,993.45,996.0282746168635
990.5294599810999,993.4,996.2705400189001
990.9600970888873,994.05,997.1399029111126
990.6000000000206,993.2,995.7999999999795
991.7356819164995,994.1,996.4643180835005
992.1431367759401,994.15,996.1568632240599
992.1999999999758,994.8,997.4000000000241
993.0318458307755,994.9,996.7681541692244
991.5134965687353,994.1,996.6865034312648
991.6833874464534,994.25,996.8166125535466
992.2251315825895,994.6,996.9748684174106
991.263335133214,994.35,997.436664866786
990.844277655261,993.25,995.655722344739
990.909029760103,993.95,996.9909702398971
991.5068287800677,993.7,995.8931712199324
992.3205505282297,994.5,996.6794494717703
990.686097260037,993.75,996.813902739963
992.094686857365,994.45,996.8053131426351
990.5241823679638,993.2,995.8758176320363
991.9505435424917,994.25,996.5494564575083
992.0849364905389,994.25,996.4150635094611
991.7718360029094,993.65,995.5281639970906
992.094686857365,994.45,996.8053131426351
991.2827140417002,993.75,996.2172859582998
991.2676192420739,993.6,995.9323807579261
991.4074586449656,993.75,996.0925413550344
992.3205505282297,994.5,996.6794494717703
991.1521194054128,994.1,997.0478805945872
992.4454003045406,994.35,996.2545996954594
991.5954592314719,993.8,996.004540768528
992.4795349466361,994.2,995.920465053364
991.275119050316,993.9,996.524880949684
991.7282433380786,993.75,995.7717566619214
991.6949032605447,994.15,996.6050967394552
992.1532077666271,994.1,996.0467922333729
992.4628451212479,994.5,996.5371548787521
991.6730677801188,994.1,996.5269322198812
991.693600245345,993.65,995.606399754655
991.592012759219,994.1,996.6079872407811
991.6553639934458,993.75,995.8446360065542
990.709633230587,993.3,995.8903667694129
991.6937581169133,994.1,996.5062418830868
992.9368535635596,994.75,996.5631464364404
992.3257023580181,994.55,996.7742976419818
993.0530510509678,995.1,997.1469489490322
991.6125327227471,994.0,996.3874672772529
992.3297135630329,994.25,996.1702864369671
992.1430644632911,994.85,997.5569355367089
990.8911916836407,993.45,996.0088083163594
990.85223303329,993.65,996.44776696671
991.8431367759692,993.85,995.8568632240308
991.5735530723447,993.95,996.3264469276554
991.5882071040818,994.35,997.1117928959183
990.9964308462064,993.8,996.6035691537935
991.3856016251675,993.65,995.9143983748324
991.1946868573154,993.55,995.9053131426845
991.909275190587,994.6,997.2907248094131
991.5916810842318,994.0,996.4083189157682
992.0318395421486,994.45,996.8681604578514
992.6141539317249,994.55,996.485846068275
991.8147485332074,994.35,996.8852514667926
990.6949032605685,993.15,995.6050967394315
991.1603921945834,993.2,995.2396078054167
992.8000000000026,994.6,996.3999999999975
991.3651519964576,993.75,996.1348480035424
992.4921215971624,994.4,996.3078784028376
991.0645843496079,993.2,995.3354156503922
991.7480778704212,993.7,995.6519221295789
992.8000000000344,994.7,996.5999999999657
