L,M,H
489.5751486135295,508.5,527.4248513864704
533.4379662914027,624.75,716.0620337085973
612.8592548149189,717.8,822.740745185081
659.0871271249321,762.8,866.5128728750678
687.1488315427082,784.5,881.8511684572918
708.781654940602,801.05,893.3183450593979
728.6222350171455,813.05,897.4777649828544
752.4635792257754,828.4,904.3364207742245
767.772910152652,839.4,911.027089847348
775.1472344882636,843.4,911.6527655117363
790.1815991612149,850.65,911.1184008387851
799.3941420010564,854.45,909.5058579989437
811.2702531523408,860.45,909.6297468476592
815.0119950041633,860.65,906.2880049958367
828.6185205549808,867.35,906.0814794450192
831.1072012363093,868.25,905.3927987636907
836.3763086889909,871.0,905.6236913110091
846.0937057485169,873.9,901.7062942514831
854.7686319272656,877.1,899.4313680727345
853.228296789427,876.45,899.6717032105731
855.100228311693,877.0,898.899771688307
858.4041770273872,879.35,900.2958229726129
860.9032831004756,880.7,900.4967168995245
863.1949727729901,881.1,899.0050272270099
868.2750213675325,882.9,897.5249786324674
867.059987212282,882.7,898.3400127877181
870.4580516981013,883.65,896.8419483018987
870.937369437498,884.7,898.4626305625021
870.5364956752447,884.15,897.7635043247552
872.5067705607198,883.95,895.3932294392803
872.9259458443612,885.15,897.3740541556388
874.1457116857637,884.35,894.5542883142364
875.5043787637617,886.35,897.1956212362384
876.158628722742,886.15,896.1413712772579
876.6987437978875,886.65,896.6012562021125
875.2562518436617,885.85,896.4437481563383
877.4274746078971,887.15,896.8725253921028
878.4778955522704,887.65,896.8221044477295
878.5904676800623,887.25,895.9095323199377
876.0406759670472,886.1,896.1593240329529
876.9464102599065,886.35,895.7535897400935
876.7890438522583,886.15,895.5109561477417
875.8091667030617,885.35,894.8908332969384
875.5830144254887,885.6,895.6169855745113
879.4559962546824,888.0,896.5440037453176
877.9854277266254,887.6,897.2145722733746
880.6874330018098,888.85,897.0125669981902
880.1663333400026,888.5,896.8336666599974
876.5501196179117,887.0,897.4498803820883
877.2383762092308,886.6,895.9616237907693
878.1453468963491,887.55,896.9546531036508
880.4854974402749,888.25,896.0145025597251
880.1874389820694,889.15,898.1125610179306
878.498404390736,887.9,897.3015956092639
879.3353527495082,887.45,895.5646472504919
880.4476855158492,888.55,896.6523144841507
879.1805615481023,887.55,895.9194384518976
881.0438702876306,889.0,896.9561297123694
880.0507440805826,888.45,896.8492559194175
881.0144874926001,888.6,896.1855125074
877.7026045199699,887.3,896.89739548003
879.8507267749018,888.45,897.0492732250983
880.2969884981445,888.6,896.9030115018555
880.9102718881968,888.45,895.9897281118033
879.0881338004218,887.1,895.1118661995782
882.7606427812577,889.45,896.1393572187424
879.7244122473647,887.7,895.6755877526354
880.8740449111083,888.4,895.9259550888917
880.3932463251444,887.8,895.2067536748555
881.1304121965269,889.5,897.8695878034731
878.7191130490123,886.95,895.1808869509878
880.0943058495791,888.0,895.9056941504209
878.9534347141257,888.05,897.1465652858742
880.8678548045143,889.05,897.2321451954856
882.4675042404846,889.1,895.7324957595155
881.4106742626533,888.9,896.3893257373467
881.129557368815,889.15,897.170442631185
881.6856786783385,888.85,896.0143213216616
881.7081607516201,888.75,895.7918392483799
880.9313181127899,888.1,895.2686818872102
879.8049685222742,887.35,894.8950314777259
879.6599754300119,887.8,895.940024569988
878.2293527874948,888.35,898.4706472125052
880.6116971963831,888.3,895.9883028036168
879.8391057374996,888.45,897.0608942625005
882.0075525510284,887.3,892.5924474489715
878.8166823899463,887.65,896.4833176100536
882.8757353315411,890.1,897.3242646684589
881.7242692636313,889.85,897.9757307363687
878.5816574265558,887.45,896.3183425734443
880.591140318719,887.65,894.708859681281
881.2487763284865,888.4,895.5512236715134
879.8906828705567,888.75,897.6093171294433
878.7051151229833,887.5,896.2948848770167
881.313206556466,888.5,895.686793443534
875.4848943340089,886.25,897.0151056659911
879.2887954873362,887.55,895.8112045126637
880.9469557222867,888.75,896.5530442777133
880.2393384502298,888.1,895.9606615497703
877.9796103985744,886.45,894.9203896014257
878.7086249649416,887.4,896.0913750350584
