L,M,H
488.01788157945487,501.85,515.6821184205452
494.6756438868418,508.75,522.8243561131583
492.5297106798577,504.8,517.0702893201423
490.49465050247807,504.05,517.605349497522
493.7156097465681,506.2,518.684390253432
496.98221678993883,508.8,520.6177832100611
499.64862509451694,509.65,519.651374905483
496.47326617002744,508.55,520.6267338299725
495.1955366036549,506.4,517.6044633963451
496.0504340343188,510.45,524.8495659656811
494.95607716860445,507.5,520.0439228313955
497.0821308880362,513.6,530.1178691119638
491.28684860748734,504.6,517.9131513925126
492.34557359698107,506.75,521.1544264030189
494.38837732893376,507.3,520.2116226710663
491.2125984711656,504.7,518.1874015288344
496.9134861685526,508.4,519.8865138314474
496.26923663525093,511.4,526.530763364749
499.38716066594725,512.05,524.7128393340527
495.6480241891347,510.2,524.7519758108654
501.8764872805134,509.65,517.4235127194866
498.43590988300434,509.0,519.5640901169957
499.23519029545633,511.65,524.0648097045437
492.54014925465606,504.6,516.659850745344
497.55410067262096,510.05,522.5458993273791
495.0357073999275,506.15,517.2642926000724
494.5340639488772,506.7,518.8659360511227
495.8366670589156,510.0,524.1633329410844
496.25837477692005,507.15,518.0416252230799
498.6937518768781,509.1,519.506248123122
497.0739722045813,506.5,515.9260277954187
498.3976365667569,512.15,525.9023634332431
495.78603658003937,509.4,523.0139634199605
497.2380572872742,506.35,515.4619427127258
495.0537380057376,510.1,525.1462619942624
493.9449321540569,508.5,523.0550678459431
491.7849902929793,505.95,520.1150097070207
498.3970050216539,509.25,520.1029949783461
494.71849580134926,507.55,520.3815041986508
494.33140847692977,505.3,516.2685915230703
493.93522205904407,505.7,517.464777940956
494.42305109348086,506.45,518.476948906519
494.95187512557453,508.95,522.9481248744255
498.2645084197693,510.75,523.2354915802307
495.82170093163876,512.4,528.9782990683611
496.5828054919473,508.95,521.3171945080527
497.6026692927085,511.65,525.6973307072915
499.516679915218,510.0,520.483320084782
496.7664551624468,509.9,523.0335448375531
494.4953081557734,509.95,525.4046918442266
497.18257579087697,505.8,514.417424209123
488.8830190405503,504.35,519.8169809594497
495.8005263255099,510.05,524.2994736744901
498.4739558992897,508.95,519.4260441007103
497.6455402443744,509.7,521.7544597556256
492.9941780680671,505.45,517.9058219319329
493.2702856252119,508.85,524.4297143747881
496.76224476712605,508.7,520.6377552328739
498.3560913292434,510.05,521.7439086707567
490.3056402937189,503.6,516.8943597062811
495.7194482352392,508.95,522.1805517647608
492.0241913365603,505.55,519.0758086634397
489.7378872793146,502.85,515.9621127206855
493.65849512088045,506.75,519.8415048791196
491.56748284362243,504.5,517.4325171563776
492.33121862727046,506.65,520.9687813727295
499.0713967783488,508.7,518.3286032216512
496.17351142593003,509.4,522.6264885740699
494.09531917266446,507.45,520.8046808273356
489.914175926935,505.25,520.585824073065
491.82150671647975,503.9,515.9784932835202
494.7045825099357,507.25,519.7954174900643
497.7646484236419,507.4,517.035351576358
489.28103492993523,505.9,522.5189650700647
496.75966333545665,507.75,518.7403366645433
496.4110490796057,508.85,521.2889509203943
493.99615438786384,507.65,521.3038456121361
488.1011111503066,503.85,519.5988888496934
495.1538648245067,511.0,526.8461351754933
492.9804068052669,509.45,525.919593194733
493.70863975660893,504.7,515.691360243391
493.4013726229046,506.15,518.8986273770953
488.8096121300661,504.15,519.4903878699338
494.85882065576544,506.9,518.9411793442345
496.74403733773386,506.6,516.4559626622662
495.7047727294171,507.75,519.7952272705829
495.8340168465001,506.4,516.9659831534998
498.3469964736892,511.25,524.1530035263107
496.00551709745076,510.05,524.0944829025492
489.38209019540744,506.7,524.0179098045926
494.3541366585272,507.95,521.5458633414728
492.87685417665006,508.55,524.2231458233499
495.9641128082236,508.8,521.6358871917764
494.7259951840933,507.6,520.4740048159068
492.4604347891315,506.95,521.4395652108684
502.344914294441,510.95,519.5550857055589
489.2173557207302,506.35,523.4826442792698
494.6117241193346,507.4,520.1882758806654
495.6124030510603,507.7,519.7875969489396
488.0222202472645,503.65,519.2777797527355
509.1560447115407,515.15,521.1439552884592
