L,M,H
479.12396247895794,498.1,517.076037521042
476.5774531646574,503.2,529.8225468353426
475.68588039923975,499.95,524.2141196007602
481.0815500093961,502.5,523.9184499906039
477.0908070842329,505.65,534.2091929157671
488.9738266927818,508.95,528.9261733072182
474.9136213210054,498.95,522.9863786789946
475.376227592545,499.05,522.723772407455
486.60400040008085,506.6,526.5959995999192
484.5666536762835,505.95,527.3333463237165
482.07682534404586,506.9,531.723174655954
477.29937966215465,497.45,517.6006203378453
476.4264494965511,501.65,526.8735505034489
479.751866594665,501.85,523.948133405335
477.4165068118703,497.4,517.3834931881297
473.082031464221,497.3,521.517968535779
481.33608014928024,500.65,519.9639198507197
463.67903432848465,491.95,520.2209656715153
491.1139353135764,508.15,525.1860646864235
482.2732275743897,502.55,522.8267724256103
486.68112649492554,505.5,524.3188735050745
474.67738171523206,497.9,521.1226182847679
473.80530933800236,494.05,514.2946906619976
489.8420717398864,510.5,531.1579282601136
481.7772857559826,501.6,521.4227142440175
466.779318538751,492.9,519.020681461249
484.8132609062808,511.2,537.5867390937192
476.457922758879,498.7,520.942077241121
483.40636011099787,503.45,523.4936398890021
476.47415328856306,498.25,520.025846711437
478.35347059617686,496.0,513.6465294038231
472.6771796371498,499.2,525.7228203628501
482.98906561356273,502.2,521.4109343864372
473.2067883728964,495.3,517.3932116271036
479.72324203965525,502.3,524.8767579603448
483.4413713686689,505.9,528.358628631331
477.3349282271559,500.15,522.965071772844
472.53305522585646,500.5,528.4669447741435
485.55992126004656,500.8,516.0400787399534
481.3870637454897,498.4,515.4129362545103
472.63802164898095,496.75,520.861978351019
488.5295668051464,503.65,518.7704331948536
476.22638171415133,495.45,514.6736182858486
473.49712407679095,496.1,518.7028759232091
482.9267520651887,498.8,514.6732479348113
485.58259042236824,501.1,516.6174095776319
479.22716601793076,501.3,523.3728339820693
485.28519542216543,505.05,524.8148045778346
495.1142469295877,510.9,526.6857530704123
480.2618222170983,503.2,526.1381777829016
473.61050652073413,497.4,521.1894934792658
486.59179926409166,508.85,531.1082007359083
488.2276546215438,507.65,527.0723453784561
480.1079631297543,503.65,527.1920368702457
467.62772533116583,492.05,516.4722746688342
492.090839892868,511.2,530.3091601071319
487.30132279761347,506.2,525.0986772023865
481.41970677669286,501.2,520.9802932233071
486.9102269364408,500.35,513.7897730635593
478.2506592380237,502.9,527.5493407619763
485.1498081850844,504.7,524.2501918149155
478.7943208985509,505.65,532.505679101449
476.18448053220345,499.55,522.9155194677966
465.44165020946053,488.65,511.8583497905394
487.445183492652,507.95,528.4548165073479
484.99364278653707,502.3,519.606357213463
487.7521826657142,506.65,525.5478173342857
482.14645868169174,500.15,518.1535413183082
480.9141907296929,502.4,523.885809270307
475.7954133265498,497.6,519.4045866734502
482.60961760813376,503.4,524.1903823918661
473.1365739595004,494.65,516.1634260404995
477.0695110148268,496.6,516.1304889851733
482.58088430081773,500.9,519.2191156991822
475.8300742829291,495.35,514.8699257170709
481.02661843697484,501.3,521.5733815630252
463.6993852536461,488.1,512.5006147463539
492.68520164780045,510.6,528.5147983521996
474.41370291712167,496.3,518.1862970828784
481.2718343347648,494.6,507.92816566523527
490.2302139781277,515.7,541.1697860218724
472.6296796797329,496.2,519.7703203202672
465.8831450404971,491.7,517.5168549595029
485.35206967826355,500.45,515.5479303217364
487.03961415189866,505.7,524.3603858481014
483.4949902882862,507.95,532.4050097117138
480.07536432427605,504.95,529.8246356757239
486.7972828093232,505.2,523.6027171906768
479.7602521021122,504.75,529.7397478978878
484.3241207109838,502.45,520.5758792890161
482.18090911099875,502.75,523.3190908890012
481.55639343990066,501.3,521.0436065600993
482.13104534826334,502.65,523.1689546517366
476.49730305546757,500.6,524.7026969445325
474.5776243947191,494.7,514.8223756052809
480.6898285888829,497.9,515.1101714111171
494.1983334104868,512.2,530.2016665895133
485.20260434329674,504.4,523.5973956567032
477.0810135623159,501.45,525.8189864376841
482.4068503864801,504.3,526.19314961352
485.6965943214897,504.05,522.4034056785104
