L,M,H
480.90457380852826,497.3,513.6954261914717
964.6484723518745,973.65,982.6515276481255
966.2812342285674,974.95,983.6187657714327
967.6704521759098,975.3,982.9295478240902
967.8286774064525,975.05,982.2713225935474
965.6950306838656,974.25,982.8049693161344
967.113969296513,976.95,986.7860307034871
967.3894974715367,975.25,983.1105025284633
970.1428902884525,976.3,982.4571097115474
964.015923497599,972.8,981.5840765024009
969.6131693046477,977.2,984.7868306953524
971.569177276393,977.1,982.630822723607
965.5622292898942,972.2,978.8377707101059
964.816681159433,974.4,983.983318840567
964.7241412588974,974.55,984.3758587411025
966.7092274342485,977.0,987.2907725657515
969.7071460289272,977.75,985.7928539710728
968.4433249695943,975.75,983.0566750304057
969.2338214933407,977.2,985.1661785066594
969.5252224234476,976.55,983.5747775765523
967.4752240179454,974.45,981.4247759820547
962.9491784354472,973.6,984.2508215645529
966.6798161268573,973.75,980.8201838731427
967.559596987555,975.5,983.440403012445
970.3252682465206,976.15,981.9747317534793
972.4084806713311,978.3,984.1915193286688
971.8089208978583,978.25,984.6910791021417
967.5501724158394,974.8,982.0498275841605
972.0153729391586,978.35,984.6846270608414
967.4394722024767,974.45,981.4605277975234
969.4506510637398,979.05,988.6493489362601
967.9114464719981,975.55,983.1885535280018
968.1119144186024,975.45,982.7880855813977
968.689188122615,977.25,985.810811877385
965.3022938193448,976.2,987.0977061806553
970.4145647392313,975.9,981.3854352607686
967.4518788167649,976.1,984.7481211832352
966.6060262841002,974.9,983.1939737158998
967.2602587214268,976.15,985.0397412785732
971.635299015534,978.7,985.7647009844661
968.198427828408,976.15,984.101572171592
962.8578913725131,973.15,983.4421086274868
966.9262720433711,974.05,981.1737279566288
971.1833582834848,976.75,982.3166417165152
964.8215302985909,974.1,983.3784697014091
971.9264329686445,978.25,984.5735670313555
966.8524428716978,975.55,984.2475571283021
964.7435462445587,973.85,982.9564537554413
968.4149420346608,975.1,981.7850579653392
964.9765030650547,973.5,982.0234969349453
969.0467021441597,976.25,983.4532978558403
965.4431953615359,975.55,985.656804638464
970.4922654656524,978.9,987.3077345343476
972.6238637233026,980.05,987.4761362766973
968.6452174612764,976.75,984.8547825387236
969.9921099438237,976.65,983.3078900561762
963.9307219244732,974.25,984.5692780755268
970.5089095465745,977.8,985.0910904534254
968.5140157152256,974.75,980.9859842847744
967.9276129792762,975.7,983.4723870207239
968.6578167431634,975.85,983.0421832568367
967.9501315798618,977.45,986.9498684201383
966.1706582387325,974.45,982.7293417612676
971.4432206170521,977.9,984.3567793829478
964.864434525029,973.95,983.0355654749711
964.5434592470787,972.0,979.4565407529213
967.7236199939686,975.65,983.5763800060314
968.3100087108071,974.05,979.7899912891928
965.9551251038205,972.05,978.1448748961794
969.7428841480296,977.3,984.8571158519703
966.8024393872352,975.0,983.1975606127648
971.0194946596699,977.55,984.08050534033
968.7268769701407,977.55,986.3731230298592
969.860642781249,976.55,983.2393572187509
965.4927162338394,975.45,985.4072837661607
966.0383902814963,974.55,983.0616097185036
966.1097544118594,974.05,981.9902455881405
968.2435814861941,977.4,986.5564185138059
970.8948021613973,977.15,983.4051978386027
965.2216102186696,974.35,983.4783897813304
973.3975733872181,978.55,983.7024266127818
965.3729220505213,975.45,985.5270779494788
971.1054766418753,977.95,984.7945233581248
970.5055578436726,977.25,983.9944421563274
969.1630472534198,977.3,985.4369527465801
970.3344237426824,979.25,988.1655762573176
971.2460627056338,978.55,985.8539372943661
968.0807895078623,977.2,986.3192104921378
972.1601762148879,976.7,981.2398237851122
969.9152580981515,978.1,986.2847419018485
967.142884148045,974.7,982.2571158519551
970.311183828115,978.8,987.288816171885
967.5247478422876,976.2,984.8752521577125
964.2373573071823,972.45,980.6626426928178
966.6151761493944,974.35,982.0848238506056
964.8448351117449,972.35,979.8551648882551
967.027089280277,976.15,985.272910719723
967.4394722024767,974.45,981.4605277975234
969.6983223365417,977.15,984.6016776634583
962.8972343680281,974.65,986.4027656319719
967.7917263875972,975.35,982.9082736124028
