L,M,H
493.89734722600724,506.15,518.4026527739927
592.994445626475,606.05,619.1055543735249
579.9998422720788,595.85,611.7001577279212
588.5271482689031,603.8,619.0728517310968
581.3907539159002,598.7,616.0092460840999
594.5484244740471,606.45,618.351575525953
581.0138756399047,594.7,608.3861243600954
581.6883726645001,598.25,614.8116273354999
580.7717757496312,603.55,626.3282242503687
584.678842271756,601.35,618.021157728244
596.3770971415277,607.85,619.3229028584724
588.9971076684726,607.15,625.3028923315273
587.5061164536319,601.4,615.2938835463681
580.7393320440314,601.25,621.7606679559686
587.4373965085855,604.8,622.1626034914144
581.0978549373357,596.25,611.4021450626643
593.7877601977125,608.5,623.2122398022875
579.9281637485466,598.2,616.4718362514535
583.5157213474502,601.0,618.4842786525498
590.096400518252,602.6,615.103599481748
588.690519823959,606.1,623.509480176041
579.3373375951841,594.25,609.1626624048159
583.4516711976711,602.15,620.8483288023289
585.8161322556876,601.15,616.4838677443123
578.4524890751197,601.05,623.6475109248802
588.3647308114363,607.45,626.5352691885638
580.1767139103754,600.05,619.9232860896245
591.7626139682839,608.9,626.0373860317161
589.1606733308424,605.2,621.2393266691577
586.0222961173058,604.4,622.7777038826941
592.0716770511823,606.65,621.2283229488177
584.4117984411071,603.9,623.3882015588929
591.7307869980818,607.55,623.3692130019181
593.7623088246794,609.7,625.6376911753207
583.835752328244,600.6,617.3642476717561
591.7543165678426,607.1,622.4456834321575
579.3557800885574,598.6,617.8442199114427
583.6605084830042,599.0,614.3394915169958
585.8113331855326,602.35,618.8886668144675
587.651210867984,605.2,622.7487891320161
594.0680834085999,607.4,620.7319165914
586.8217786561704,603.8,620.7782213438295
581.4554737827668,599.95,618.4445262172333
576.9688003036456,599.1,621.2311996963545
581.543137199366,598.85,616.156862800634
588.4493705178514,602.35,616.2506294821486
582.7447607941722,602.55,622.3552392058277
582.4763974564412,598.8,615.1236025435587
580.7354540771308,597.5,614.2645459228692
578.8645780445438,598.15,617.4354219554561
588.0428263281455,604.6,621.1571736718546
587.954167372642,600.25,612.545832627358
587.4449193987123,605.9,624.3550806012877
588.8207371022411,606.05,623.2792628977588
585.0593625036381,606.55,628.0406374963618
584.7940753741169,598.3,611.805924625883
590.0501063834579,601.8,613.549893616542
585.1218139908665,604.25,623.3781860091335
573.127793672596,597.4,621.672206327404
589.9464144613154,602.15,614.3535855386846
576.7813921875194,595.6,614.4186078124807
588.1919378135783,602.15,616.1080621864216
586.4570941102915,604.25,622.0429058897085
582.8587182704932,601.35,619.8412817295068
588.1286293721895,607.5,626.8713706278105
580.8985207747951,597.8,614.7014792252048
583.5639423780392,598.35,613.1360576219608
577.596841175993,600.55,623.503158824007
595.3335206003244,611.65,627.9664793996756
584.9909117725933,600.4,615.8090882274066
584.5082546323302,599.95,615.3917453676698
582.0525804279497,603.85,625.6474195720504
586.0079458921236,602.05,618.0920541078763
594.2857659053634,610.1,625.9142340946366
594.9370228014136,611.8,628.6629771985863
585.7071037063231,603.3,620.8928962936768
591.3035585267082,604.65,617.9964414732917
587.730577986802,602.35,616.969422013198
581.5083358509561,595.3,609.0916641490438
575.4717979278591,600.75,626.0282020721409
586.0473725796817,602.7,619.3526274203184
588.7334584119468,606.5,624.2665415880532
580.5460264678909,597.85,615.1539735321091
580.8179669977511,600.15,619.4820330022488
583.3800385250815,601.55,619.7199614749184
592.2717992916894,609.75,627.2282007083106
586.2760246166418,606.1,625.9239753833582
589.5291834623368,602.45,615.3708165376632
586.2783732937506,606.75,627.2216267062494
585.4625738361508,603.45,621.4374261638493
587.3951732171662,601.9,616.4048267828338
586.8040419477463,608.45,630.0959580522538
581.8180732563744,594.95,608.0819267436257
590.2069147206861,605.75,621.2930852793139
586.6079957345357,602.55,618.4920042654642
591.3770341902076,609.35,627.3229658097924
584.0678231701941,600.4,616.7321768298059
581.7734209561613,602.95,624.1265790438388
580.6430771989833,597.8,614.9569228010166
585.565017782693,605.95,626.3349822173071
583.932815741229,605.4,626.867184258771
