L,M,H
488.9897877497328,507.6,526.2102122502672
829.964080358618,844.25,858.535919641382
825.7462938087031,841.6,857.453706191297
821.6881654611768,839.65,857.6118345388231
826.5067119069057,838.05,849.5932880930942
831.0302752033326,847.2,863.3697247966675
824.7683155521215,838.75,852.7316844478785
823.9430230261671,844.55,865.1569769738328
819.6894611767098,836.3,852.9105388232902
820.0486806039083,838.05,856.0513193960916
820.2248445834476,834.3,848.3751554165523
812.2838732282084,834.15,856.0161267717915
823.9976822377917,846.65,869.3023177622083
826.2229208154066,839.3,852.3770791845933
817.0817899070565,835.35,853.6182100929435
826.4398982648208,843.15,859.8601017351791
820.7796424207116,837.0,853.2203575792884
827.0486163068116,840.6,854.1513836931884
819.444849629844,837.65,855.8551503701559
821.0324287667047,843.45,865.8675712332954
817.950073313942,835.0,852.049926686058
825.4307377752706,840.95,856.4692622247295
823.3425096563219,839.2,855.0574903436782
820.4190090335812,840.4,860.3809909664187
817.837442022344,838.05,858.2625579776559
828.627626600288,844.45,860.2723733997121
820.4197605073949,842.55,864.680239492605
818.7013021274857,837.9,857.0986978725142
816.7815867059351,838.65,860.5184132940649
818.5500806453692,834.05,849.5499193546307
817.6475002015799,833.15,848.6524997984201
819.6075633680488,841.75,863.8924366319512
820.3711011604897,839.85,859.3288988395103
808.3889820692808,832.9,857.4110179307191
820.2679779319914,837.85,855.4320220680087
822.0987374139938,841.9,861.7012625860061
820.8457540198158,841.75,862.6542459801842
816.9666969697223,835.3,853.6333030302776
817.6203520789253,836.65,855.6796479210747
816.8388472399117,838.7,860.5611527600884
826.3858129442739,841.9,857.4141870557261
815.9853004728265,833.0,850.0146995271735
832.1990272741679,845.05,857.900972725832
818.8560913481297,840.4,861.9439086518703
810.5375737336658,828.55,846.5624262663341
822.2466985245176,835.5,848.7533014754824
823.0901095673926,841.8,860.5098904326073
823.2640486157002,838.65,854.0359513842998
820.6695037796316,837.9,855.1304962203684
822.9488872770941,839.8,856.6511127229059
830.9394342512863,844.55,858.1605657487136
816.665196821822,840.1,863.5348031781781
814.97224362268,833.0,851.02775637732
821.4132321452272,840.3,859.1867678547727
820.6457552026527,839.2,857.7542447973474
818.8359194697882,839.35,859.8640805302118
815.4747071537789,835.75,856.0252928462211
828.5166760299667,843.35,858.1833239700334
820.359030294634,836.55,852.740969705366
828.5488905689642,845.45,862.3511094310359
814.9949443945881,837.25,859.5050556054119
826.6775599866522,843.4,860.1224400133477
829.1529355715638,841.5,853.8470644284362
824.8690346790908,843.05,861.2309653209091
814.8333198598837,835.45,856.0666801401164
815.6047690120843,833.95,852.2952309879158
820.372641324322,837.2,854.0273586756781
810.1734669027692,832.8,855.4265330972307
821.8152808200504,837.35,852.8847191799497
827.4746455624087,840.7,853.9253544375914
813.396500306196,833.4,853.403499693804
831.0724759791113,841.35,851.6275240208887
818.1428907347816,834.85,851.5571092652184
829.6401909971463,844.3,858.9598090028536
818.3162338664479,837.25,856.1837661335521
825.2245912277814,839.75,854.2754087722186
820.6291671035164,840.5,860.3708328964836
833.1620712631466,846.1,859.0379287368535
826.551731384978,844.6,862.6482686150221
814.5454978566999,833.15,851.7545021433001
815.4457774286042,837.65,859.8542225713958
821.7387995564001,838.15,854.5612004435999
818.227829437743,836.45,854.6721705622571
819.6365543882939,837.4,855.163445611706
820.9002688191481,839.5,858.0997311808519
816.6258372667669,837.9,859.1741627332331
812.3343040975693,832.65,852.9656959024306
829.5022729621093,840.5,851.4977270378907
823.7318214890471,839.35,854.968178510953
820.7299283072448,842.35,863.9700716927553
821.5465137137732,838.4,855.2534862862268
811.5152842669128,829.5,847.4847157330872
821.8695522966641,836.5,851.1304477033359
825.8264535639614,839.8,853.7735464360385
822.6028904148715,839.9,857.1971095851285
826.3896120748572,839.15,851.9103879251428
813.1830986873022,833.9,854.6169013126978
821.3283861336996,838.4,855.4716138663003
819.7192635368933,837.1,854.4807364631067
823.4617155233709,838.5,853.5382844766291
820.493916323044,839.4,858.306083676956
