L,M,H
484.952281211821,498.65,512.347718788179
487.18795617631616,503.8,520.4120438236838
484.47487373783457,501.8,519.1251262621654
480.08025974194527,500.1,520.1197402580548
479.9933974014637,498.55,517.1066025985363
482.93246957438316,502.55,522.1675304256169
484.05939347765417,503.35,522.6406065223459
474.74569008219294,496.5,518.2543099178071
478.017953099633,500.15,522.2820469003669
486.88368840908606,506.05,525.216311590914
472.90558105241445,495.3,517.6944189475856
481.75107264523257,496.9,512.0489273547673
480.3849639447757,505.0,529.6150360552243
484.7386397157418,504.0,523.2613602842582
485.19774786198406,507.4,529.6022521380158
483.20291160702396,502.95,522.6970883929761
478.5324894683789,499.6,520.6675105316211
476.72639887120505,504.65,532.5736011287948
472.2361809639003,493.5,514.7638190360997
486.24399270960095,504.35,522.4560072903992
472.20811569299883,485.45,498.69188430700115
475.01818865345257,499.2,523.3818113465474
472.5277433576758,493.6,514.6722566423243
478.46296470238394,500.15,521.837035297616
471.7630779891539,497.85,523.9369220108462
482.70886542262963,504.7,526.6911345773703
488.0786963714938,501.35,514.6213036285062
484.4392888067294,503.0,521.5607111932705
500.58365318437313,516.65,532.7163468156268
484.41728530842653,503.5,522.5827146915735
478.2966370248796,500.6,522.9033629751204
475.08140528523563,498.35,521.6185947147644
486.883618565316,504.9,522.916381434684
474.83711986617976,497.65,520.4628801338201
490.0744440547799,507.5,524.92555594522
476.6131505784207,500.75,524.8868494215793
470.7078842829256,492.9,515.0921157170743
480.3599359659586,499.1,517.8400640340415
500.02591764574424,515.35,530.6740823542558
470.4806199099567,495.0,519.5193800900433
487.05960610403986,502.8,518.5403938959602
480.1558358470471,503.5,526.8441641529529
464.5010166549653,491.55,518.5989833450346
479.4634291250925,500.4,521.3365708749075
476.7985319888611,505.75,534.7014680111389
480.61545168774956,502.45,524.2845483122504
482.15396587880804,503.9,525.6460341211919
481.2675358047002,503.0,524.7324641952998
488.96034102598475,508.9,528.8396589740152
471.12767180816275,493.7,516.2723281918372
479.4000000000003,503.6,527.7999999999997
482.85074259245687,498.0,513.1492574075431
477.9063461998542,497.6,517.2936538001458
473.1159963422082,492.8,512.4840036577918
482.24819043631305,500.9,519.5518095636869
489.87208104240244,510.75,531.6279189575976
478.5172212177695,496.8,515.0827787822305
484.72709344122745,500.4,516.0729065587725
490.31427037969183,506.95,523.5857296203081
486.77541080340404,502.75,518.724589196596
482.39094703297076,501.45,520.5090529670292
484.5920575486576,506.0,527.4079424513424
479.6703398344436,498.65,517.6296601655564
480.9913259187138,502.9,524.8086740812861
479.0126252280684,499.6,520.1873747719317
478.20915383030035,504.15,530.0908461696996
481.45742809342863,498.45,515.4425719065713
479.3867771122954,498.3,517.2132228877045
478.34403302376,501.6,524.8559669762401
484.77050812562095,501.4,518.029491874379
472.92282942192253,502.15,531.3771705780774
474.6625373258497,493.5,512.3374626741503
475.23025092225976,496.95,518.6697490777402
475.198571477159,496.2,517.201428522841
479.96831716590214,500.5,521.0316828340979
485.7554329326336,507.15,528.5445670673663
490.8127389351331,509.45,528.0872610648669
471.71190831598904,491.65,511.5880916840109
481.8333188026789,500.95,520.066681197321
475.41239277833944,498.0,520.5876072216605
476.5058192083472,501.85,527.1941807916529
480.17048619782514,497.55,514.9295138021748
474.4988491387344,494.05,513.6011508612656
486.1717893741495,507.1,528.0282106258505
477.1391994717511,499.25,521.3608005282489
489.91803527495887,505.85,521.7819647250412
452.16680137194123,474.85,497.5331986280588
484.5908130918726,503.1,521.6091869081274
477.00904077198084,498.85,520.6909592280192
472.6149295315468,499.4,526.1850704684532
484.60457202581296,502.1,519.595427974187
483.0727801576866,498.7,514.3272198423133
478.93902298411854,501.15,523.3609770158814
482.2440263499882,503.8,525.3559736500118
472.0252601599143,497.25,522.4747398400857
470.75541297526416,495.0,519.2445870247358
481.3681615538199,501.25,521.1318384461802
476.7987603623283,501.0,525.2012396376717
482.03847052289547,500.15,518.2615294771044
469.5670659971313,496.0,522.4329340028687
475.4706363345332,499.75,524.0293636654668
