L,M,H
489.6258909630161,501.2,512.7741090369839
518.5216534545308,538.6,558.6783465454693
519.6868954795275,536.1,552.5131045204726
522.0353260176446,536.95,551.8646739823555
520.3747483238475,539.0,557.6252516761525
521.2793568700523,538.85,556.4206431299477
522.883235815906,538.55,554.2167641840939
517.6927340928308,534.9,552.1072659071691
520.8688542000194,540.55,560.2311457999805
527.663842213547,537.5,547.336157786453
524.3047475487098,540.1,555.8952524512903
517.1022256662794,533.95,550.7977743337207
525.7130776358733,537.75,549.7869223641267
529.4782626163797,540.3,551.1217373836203
518.5404061948726,534.05,549.5595938051273
517.3344722864125,534.65,551.9655277135874
520.7797719437456,535.25,549.7202280562544
519.2429169436391,534.6,549.957083056361
522.2987113830056,541.7,561.1012886169945
515.1290293089787,536.3,557.4709706910212
516.7050303344456,533.6,550.4949696655544
522.8434118578909,534.8,546.756588142109
523.7728834039204,537.8,551.8271165960795
524.4906164004558,537.55,550.6093835995441
524.8103335201574,542.95,561.0896664798427
517.16118590098,534.7,552.2388140990201
520.054180362,535.9,551.745819638
518.6557511025036,533.65,548.6442488974964
525.4861783420517,537.25,549.0138216579483
526.2127440258015,541.9,557.5872559741985
527.5844795305903,543.7,559.8155204694098
519.074063635596,540.1,561.1259363644041
521.0141851109656,537.75,554.4858148890344
523.1340421406326,536.85,550.5659578593675
516.9663084011332,536.35,555.7336915988668
523.2624124652707,536.65,550.0375875347293
521.6933558273751,537.5,553.3066441726249
525.5100570963349,543.9,562.2899429036651
516.4300281778571,532.4,548.3699718221428
521.2004823225935,536.75,552.2995176774065
522.4725415221205,537.6,552.7274584778795
523.4447331335685,537.45,551.4552668664315
529.7401689944372,543.35,556.9598310055628
518.4461703249689,536.4,554.3538296750311
524.4902428367402,537.05,549.6097571632597
517.0071044700152,534.95,552.8928955299849
520.8607059800718,535.45,550.0392940199283
525.7516284540917,538.8,551.8483715459082
527.0787153494069,538.6,550.1212846505931
524.4799042007774,538.05,551.6200957992226
522.3925017569893,538.4,554.4074982430107
524.6088449592694,540.15,555.6911550407306
518.6096923499152,537.95,557.2903076500849
525.2316165264947,538.5,551.7683834735053
515.3360216802282,536.0,556.6639783197718
522.9284178598797,536.55,550.1715821401202
517.6194633666491,534.95,552.280536633351
521.6916442761916,538.75,555.8083557238084
519.5533068043508,535.05,550.5466931956491
519.220883968173,535.85,552.4791160318271
520.2076533300163,534.25,548.2923466699837
518.4958132396279,538.8,559.104186760372
515.8735157997958,533.35,550.8264842002043
523.0044418260718,540.45,557.8955581739283
524.8278096038731,536.95,549.072190396127
512.9449603601598,531.55,550.1550396398401
518.5682372506426,535.9,553.2317627493574
515.8326359361724,535.35,554.8673640638276
522.9168968710017,538.0,553.0831031289983
524.033162569201,540.3,556.566837430799
518.1901245448214,534.65,551.1098754551786
524.8815712957853,537.1,549.3184287042147
522.3320890001459,535.95,549.5679109998542
518.6103654778007,537.9,557.1896345221993
514.8187808429041,530.65,546.4812191570959
519.9819045662683,535.05,550.1180954337316
518.3602576412922,535.05,551.7397423587078
518.1714711391605,536.15,554.1285288608394
517.695223656479,533.4,549.1047763435209
524.9292929121974,539.85,554.7707070878026
519.5082109677617,536.25,552.9917890322383
522.4533717905593,542.1,561.7466282094407
520.580296159034,536.45,552.3197038409661
523.2611969075405,538.55,553.8388030924594
525.8584092015125,537.3,548.7415907984874
517.6243289750374,537.65,557.6756710249625
522.8220492785712,535.85,548.8779507214289
523.8056205069172,541.15,558.4943794930828
525.6429020152558,538.15,550.6570979847442
519.4355201875794,534.55,549.6644798124205
522.4691451202586,537.15,551.8308548797413
525.2622813918507,539.2,553.1377186081494
519.6761657491824,537.1,554.5238342508177
519.9383324136313,536.55,553.1616675863686
524.0390984819916,540.9,557.7609015180084
521.2735790758773,534.25,547.2264209241227
521.1908387115493,536.75,552.3091612884507
524.4112837482483,539.25,554.0887162517517
522.3628080013601,538.85,555.3371919986399
533.941743091477,545.3,556.658256908523
522.8168186077986,534.7,546.5831813922015
