L,M,H
2457.4916235327028,2509.9142857142856,2562.3369478958684
3403.006613019116,3455.342857142857,3507.6791012665985
3744.971536986175,3793.9142857142856,3842.857034442396
3963.2010421783934,4014.114285714286,4065.0275292501783
4187.502322579233,4236.4,4285.297677420766
4347.8089457103515,4385.857142857143,4423.905340003935
4481.534691360517,4514.628571428571,4547.722451496626
4584.291841550366,4612.4,4640.508158449633
4655.544467051145,4683.685714285714,4711.8269615202835
4713.779415530152,4741.371428571429,4768.9634416127055
4766.8837174412965,4790.8,4814.716282558704
4806.092669927364,4831.028571428571,4855.964472929778
4839.209693379439,4861.942857142857,4884.676020906275
4870.02707620743,4887.771428571428,4905.515780935427
4887.010349359341,4905.028571428571,4923.046793497801
4911.103437895579,4924.428571428572,4937.753704961564
4926.180695676773,4940.314285714286,4954.447875751798
4937.332835934202,4950.371428571429,4963.410021208655
4950.529691079355,4962.285714285715,4974.041737492074
4957.816804145443,4968.228571428572,4978.640338711701
4964.221030082692,4974.4,4984.578969917307
4970.781009341873,4978.742857142857,4986.7047049438415
4973.716859277588,4982.914285714286,4992.111712150984
4980.853975629969,4987.685714285714,4994.51745294146
4985.1128131564965,4990.657142857143,4996.20147255779
4987.53091652018,4993.142857142857,4998.754797765534
4989.669218797822,4994.057142857143,4998.4450669164635
4991.44182170145,4995.285714285715,4999.129606869979
4992.231341018584,4995.914285714286,4999.597230409988
4993.440042644414,4996.885714285714,5000.331385927015
4993.962027494242,4997.657142857143,5001.352258220045
4993.938170872751,4997.685714285714,5001.433257698678
4996.932289583803,4998.714285714285,5000.4962818447675
4995.946105994523,4998.457142857143,5000.968179719762
4997.726017823388,4999.285714285715,5000.845410748041
4997.8258267110095,4999.314285714286,5000.802744717562
4998.975520667451,4999.771428571428,5000.567336475406
4998.438639565844,4999.771428571428,5001.104217577013
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
5000.0,5000.0,5000.0
